"name_data","gross_data","prod_data","release_data","perc_return","days_since_jan_1"
"Batman v Superman:Dawn of Justice",873634919,2.5e+08,2016-03-25,349.4539676,84
"The Lord of the Rings:The Fellowship of the Ring",871530324,9.3e+07,2001-12-19,937.129380645161,352
"Wolf Warrior 2",870325439,3e+07,2017-07-28,2901.08479666667,208
"The Hunger Games:Catching Fire",865011746,1.3e+08,2013-11-22,665.393650769231,325
"Guardians of the Galaxy Vol. 2",863756051,2e+08,2017-05-05,431.8780255,124
"Inside Out",857611174,1.75e+08,2015-06-19,490.063528,169
"Thor:Ragnarok",853977126,1.8e+08,2017-11-03,474.431736666667,306
"Star Wars:Episode III - Revenge of the Sith",848754768,1.13e+08,2005-05-19,751.110414159292,138
"Transformers:Revenge of the Fallen",836303693,2e+08,2009-06-24,418.1518465,174
"The Twilight Saga:Breaking Dawn Part 2",829746820,1.2e+08,2012-11-16,691.455683333333,320
"Inception",828322032,1.6e+08,2010-07-16,517.70127,196
"Wonder Woman",821847012,1.49e+08,2017-06-02,551.575175838926,152
"Spider-Man",821708551,1.39e+08,2002-05-03,591.157230935252,122
"Independence Day",817400891,7.5e+07,1996-07-03,1089.86785466667,184
"Fantastic Beasts and Where To Find Them",814037575,1.8e+08,2016-11-18,452.243097222222,322
"Shrek the Third",798958162,1.6e+08,2007-05-18,499.34885125,137
"Harry Potter and the Prisoner of Azkaban",796688549,1.3e+08,2004-06-04,612.837345384615,155
"Pirates of the Caribbean:Dead Men Tell No Tales",794861794,2.3e+08,2017-05-26,345.592084347826,145
"E.T.:The Extra-Terrestrial",792910554,1e+07,1982-06-11,7929.10554,161
"Fast & Furious 6",788679850,1.6e+08,2013-05-24,492.92490625,143
"Indiana Jones and the Kingdom of the Crystal Skull",786636033,1.85e+08,2008-05-22,425.208666486486,142
"Spider-Man 2",783766341,2e+08,2004-06-30,391.8831705,181
"Deadpool",783112979,5.8e+07,2016-02-12,1350.19479137931,42
"Star Wars",775398007,1.1e+07,1977-05-25,7049.07279090909,144
"Guardians of the Galaxy",773328629,1.7e+08,2014-08-01,454.899193529412,212
"2012",769679473,2e+08,2009-11-13,384.8397365,316
"Maleficent",758539785,1.8e+08,2014-05-30,421.410991666667,149
"The Da Vinci Code",758239851,1.25e+08,2006-05-19,606.5918808,138
"The Amazing Spider-Man",757930663,2.3e+08,2012-07-03,329.535070869565,184
"The Hunger Games:Mockingjay - Part 1",755356711,1.25e+08,2014-11-21,604.2853688,324
"Shrek Forever After",752600867,1.65e+08,2010-05-21,456.121737575758,140
"X-Men:Days of Future Past",747862775,2e+08,2014-05-23,373.9313875,142
"Madagascar 3:Europe's Most Wanted",746921274,1.45e+08,2012-06-08,515.11812,159
"Suicide Squad",746846894,1.75e+08,2016-08-05,426.769653714286,217
"The Chronicles of Narnia:The Lion, the Witch and the Wardrobe",745013115,1.8e+08,2005-12-09,413.896175,342
"The Matrix Reloaded",742128461,1.5e+08,2003-05-15,494.752307333333,134
"Up",735099082,1.75e+08,2009-05-29,420.056618285714,148
"Gravity",723192705,1e+08,2013-10-04,723.192705,276
"Captain America:The Winter Soldier",714264267,1.7e+08,2014-04-04,420.155451176471,93
"The Twilight Saga:Breaking Dawn Part 1",712205856,1.1e+08,2011-11-18,647.459869090909,321
"Dawn of the Planet of the Apes",710644566,1.7e+08,2014-07-11,418.026215294118,191
"The Twilight Saga:New Moon",709711008,5e+07,2009-11-20,1419.422016,323
"Transformers",709709780,1.5e+08,2007-07-03,473.139853333333,183
"It",700381748,3.5e+07,2017-09-08,2001.09070857143,250
"The Twilight Saga:Eclipse",698491347,6.8e+07,2010-06-30,1027.19315735294,180
"Mission:Impossible - Ghost Protocol",694713380,1.45e+08,2011-12-16,479.112675862069,349
"The Hunger Games",694394724,7.8e+07,2012-03-23,890.249646153846,82
"Mission:Impossible - Rogue Nation",682714267,1.5e+08,2015-07-31,455.142844666667,211
"Forrest Gump",677945399,5.5e+07,1994-07-06,1232.62799818182,186
"Doctor Strange",677718395,1.65e+08,2016-11-04,410.738421212121,308
"Interstellar",677463813,1.65e+08,2014-11-05,410.584129090909,308
"The Sixth Sense",672806292,4e+07,1999-08-06,1682.01573,217
"Man of Steel",668045518,2.25e+08,2013-06-14,296.909119111111,164
"Kung Fu Panda 2",665692281,1.5e+08,2011-05-26,443.794854,145
"Ice Age:The Meltdown",660940780,8e+07,2006-03-31,826.175975,89
"Big Hero 6",657818612,1.65e+08,2014-11-07,398.677946666667,310
"Pirates of the Caribbean:The Curse of the Black Pearl",654264015,1.4e+08,2003-07-09,467.331439285714,189
"The Hunger Games:Mockingjay - Part 2",653428261,1.6e+08,2015-11-20,408.392663125,323
"Star Wars:Episode II - Attack of the Clones",649398328,1.15e+08,2002-05-16,564.69419826087,135
"Thor:The Dark World",644571402,1.7e+08,2013-11-08,379.159648235294,311
"Sing",634151679,7.5e+07,2016-12-21,845.535572,355
"The Incredibles",633019734,9.2e+07,2004-11-05,688.06492826087,309
"Kung Fu Panda",631744560,1.3e+08,2008-06-06,485.957353846154,157
"The Martian",630161890,1.08e+08,2015-10-02,583.483231481481,274
"Fast Five",626137675,1.25e+08,2011-04-29,500.91014,118
"Hancock",624386746,1.5e+08,2008-07-02,416.257830666667,183
"MIB 3",624026776,2.25e+08,2012-05-25,277.345233777778,145
"Iron Man 2",623933331,2e+08,2010-05-07,311.9666655,126
"How to Train Your Dragon 2",621537519,1.45e+08,2014-06-13,428.646564827586,163
"Ratatouille",620702951,1.5e+08,2007-06-29,413.801967333333,179
"Logan",619021436,9.7e+07,2017-03-03,638.166428865979,61
"The Lost World:Jurassic Park",618638999,7.3e+07,1997-05-23,847.450683561644,142
"The Passion of the Christ",611899420,3e+07,2004-02-25,2039.66473333333,55
"Mamma Mia!",609841637,5.2e+07,2008-07-18,1172.77237884615,199
